skill,demand_count,category,percentage,rank
mengontrol sistem pergudangan dan melakukan stock opname,1,uncategorized,1.0,50
warehouse coordinator,1,uncategorized,1.0,51
logistik atau pergudangan mengatur,1,uncategorized,1.0,52
logistic and warehousing,1,uncategorized,1.0,53
pengiriman,1,uncategorized,1.0,54
arsip dokumen document control,1,uncategorized,1.0,55
mengelola arsip,1,uncategorized,1.0,56
property,1,uncategorized,1.0,57
mampu membuat skincare alami.,1,uncategorized,1.0,58
knowledge make-up and skincare ingredients.,1,uncategorized,1.0,59
problem solving cepat menemukan solusi untuk masalah administratif,1,uncategorized,1.0,60
farmasi instrumen,1,uncategorized,1.0,61
seperti dokumen yang hilang atau jadwal yang bentrok.,1,uncategorized,1.0,62
analisis kelayakan produk-produk skincare,1,uncategorized,1.0,63
research abilities,1,uncategorized,1.0,64
research analysis,1,uncategorized,1.0,65
negosiasi dan komunikasi,1,uncategorized,1.0,66
book editing proofreading,1,uncategorized,1.0,67
microsoft ms excel,1,uncategorized,1.0,68
book editor,1,uncategorized,1.0,69
proof-reading,1,uncategorized,1.0,70
microsoft ms powerpoint,1,uncategorized,1.0,71
administrasi,1,uncategorized,1.0,72
aktif dalam berkomunikasi,1,uncategorized,1.0,73
sosial media creative,1,uncategorized,1.0,74
video editing and videographer,1,uncategorized,1.0,75
design grafis,1,uncategorized,1.0,76
video audio editing,1,uncategorized,1.0,77
communication skill,1,uncategorized,1.0,78
marketing and sales.,1,uncategorized,1.0,79
promotion,1,uncategorized,1.0,80
presentasi,1,uncategorized,1.0,81
social media analitic,1,uncategorized,1.0,82
copywriting,1,uncategorized,1.0,83
excell,1,uncategorized,1.0,84
data entry,1,uncategorized,1.0,85
tanggung jawab dan dapat diandalkan,1,uncategorized,1.0,86
manejemen,1,uncategorized,1.0,87
instalasi hardware,1,uncategorized,1.0,88
teknikal support,1,uncategorized,1.0,89
it hardware dan software,1,uncategorized,1.0,90
aba therapy,1,uncategorized,1.0,91
disiplin,1,uncategorized,1.0,92
bekerja keras dan tepat waktu,1,uncategorized,1.0,93
mic. excel,1,uncategorized,1.0,94
mic. word,1,uncategorized,1.0,95
mic. power point dan accsess,1,uncategorized,1.0,96
bisa menyetir mobil,1,uncategorized,1.0,97
menyetir mobil manual matic dengan baik dan lancar,1,uncategorized,1.0,98
menyetir mobil.,1,uncategorized,1.0,99
bisa menyetir mobil ada sim.,1,uncategorized,1.0,100
admin,1,uncategorized,1.0,101
customer and service oriented,1,uncategorized,1.0,102
mengetik,1,uncategorized,1.0,103
coreldraw dan photoshop,1,uncategorized,1.0,104
adobe ai,1,uncategorized,1.0,105
corel draw,1,uncategorized,1.0,106
d max,1,uncategorized,1.0,107
blender,1,uncategorized,1.0,108
editor,1,uncategorized,1.0,109
drone,1,uncategorized,1.0,110
konten kreator,1,uncategorized,1.0,111
kebersihan,1,uncategorized,1.0,112
kebersihan cleaning service,1,uncategorized,1.0,113
pivot table,1,uncategorized,1.0,114
microsoft excel if,1,uncategorized,1.0,115
membuat hpp,1,uncategorized,1.0,116
vlookup dan hlookup,1,uncategorized,1.0,117
scaffolding construction,1,uncategorized,1.0,118
kontruksi interior memahami gambar teknis dan spesifikasi proyek. mampu membaca dan menginterpretasikan desain serta dokumen teknis. memiliki keterampilan komunikasi dan koordinasi yang baik.,1,uncategorized,1.0,119
mampu menguasai teknik pengelasan listrikwelder,1,uncategorized,1.0,120
aktif komunikatif,1,uncategorized,1.0,121
percaya diri,1,uncategorized,1.0,122
akuntansi dan keuangan,1,uncategorized,1.0,123
e-faktur pajak,1,uncategorized,1.0,124
ap ar,1,uncategorized,1.0,125
molding injection,1,uncategorized,1.0,126
core tools fmea,1,uncategorized,1.0,127
microsoft powerpoint,1,uncategorized,1.0,128
control plan,1,uncategorized,1.0,129
msa,1,uncategorized,1.0,130
autodesk autocad,1,uncategorized,1.0,131
spc,1,uncategorized,1.0,132
apqp ppap,1,uncategorized,1.0,133
bekerja tekanan,1,uncategorized,1.0,134
orientasi hasil fokus mencapai target dan meningkatkan efisiensi kerja.,1,uncategorized,1.0,135
sales and marketing,1,uncategorized,1.0,136
pengelolaan dokumen,1,uncategorized,1.0,137
mengajar matematika,1,uncategorized,1.0,138
mengajar siswa sd,1,uncategorized,1.0,139
mengajar anak-anak,1,uncategorized,1.0,140
matematika,1,uncategorized,1.0,141
kefarmasian,1,uncategorized,1.0,142
apote,1,uncategorized,1.0,143
ilmu kefarmasian,1,uncategorized,1.0,144
asisten apoteker aa atau tenaga teknis kefarmasian ttk,1,uncategorized,1.0,145
movie maker,1,uncategorized,1.0,146
video pad editor,1,uncategorized,1.0,147
foto dan videography,1,uncategorized,1.0,148
adobe premiere,1,uncategorized,1.0,149
bisa mengemudikan truk box,1,uncategorized,1.0,150
engkelpick up box l,1,uncategorized,1.0,151
mengelola whatsapp bussines,1,uncategorized,1.0,152
admin cs online shop,1,uncategorized,1.0,153
forecasting,1,uncategorized,1.0,154
google sheet,1,uncategorized,1.0,155
memahami production planning inventery control,1,uncategorized,1.0,156
konten sosial media nilai tambah,1,uncategorized,1.0,157
perawatan mesin akan dilatih,1,uncategorized,1.0,158
kebersihan kerapihan,1,uncategorized,1.0,159
illustration,1,uncategorized,1.0,160
premiere,1,uncategorized,1.0,161
desain grafis,1,uncategorized,1.0,162
edit video,1,uncategorized,1.0,163
kasir,1,uncategorized,1.0,164
pos system,1,uncategorized,1.0,165
menjual produk atau jasa,1,uncategorized,1.0,166
baik secara langsung ataupun secara online.,1,uncategorized,1.0,167
menjual produk,1,uncategorized,1.0,168
admin assistant,1,uncategorized,1.0,169
detail,1,uncategorized,1.0,170
apoteker,1,uncategorized,1.0,171
farmasi,1,uncategorized,1.0,172
facebook,1,uncategorized,1.0,173
google ads,1,uncategorized,1.0,174
instagram,1,uncategorized,1.0,175
facebook ads.,1,uncategorized,1.0,176
social media ads tiktok,1,uncategorized,1.0,177
google,1,uncategorized,1.0,178
bahasa mandarin lisan tulisan,1,uncategorized,1.0,179
oracle,1,uncategorized,1.0,180
program kasir,1,uncategorized,1.0,181
mengoperasikan mesin kasir pos,1,programming_language,1.0,182
sistem transaksi,1,uncategorized,1.0,183
selling,1,uncategorized,1.0,184
admini,1,uncategorized,1.0,185
adminiatrasi keungan,1,uncategorized,1.0,186
bahasa ing,1,uncategorized,1.0,187
bahasa inggris aktif maupun pasif,1,uncategorized,1.0,188
analys and problem solving,1,uncategorized,1.0,189
berbahasa inggris secara aktif baik lisan maupun tulisan.,1,uncategorized,1.0,190
negotiation,1,programming_language,1.0,191
agrikultur,1,uncategorized,1.0,192
pemasaran dan penjualan,1,uncategorized,1.0,193
pelayanan pelanggan,1,uncategorized,1.0,194
data entry.,1,uncategorized,1.0,195
memahami pembuatan dokumen,1,uncategorized,1.0,196
arsip,1,uncategorized,1.0,197
uiux,1,uncategorized,1.0,198
design graphic,1,uncategorized,1.0,199
desain adobe photoshop,1,uncategorized,1.0,200
corel,1,uncategorized,1.0,201
autocad d d,1,uncategorized,1.0,202
sketchup dimensi,1,uncategorized,1.0,203
bisa membuat rab,1,uncategorized,1.0,204
sap,1,uncategorized,1.0,205
analisis,1,uncategorized,1.0,206
b.inggris,1,uncategorized,1.0,207
ticketing,1,uncategorized,1.0,208
dapat membuat konten estetika untuk klinik kecantikan,1,uncategorized,1.0,209
dan mengirimkan barang,1,uncategorized,1.0,210
membungkus,1,uncategorized,1.0,211
mampu packing barang dengan aman,1,uncategorized,1.0,212
mampu membedakan warna dengan baik,1,uncategorized,1.0,213
mampu menyelesaikan dan menyiapkan pesanan untuk pengiriman dan pengambilan barang sesuai jadwal termasuk memuat,1,uncategorized,1.0,214
memberi label,1,uncategorized,1.0,215
hospitality management,1,uncategorized,1.0,216
communication,1,uncategorized,1.0,217
sales dan marketing,1,uncategorized,1.0,218
tax,1,uncategorized,1.0,219
tax accounting,1,uncategorized,1.0,220
mengajar geografi,1,uncategorized,1.0,221
mengajar,1,uncategorized,1.0,222
mengajar pelajaran ilmu sejarah sma,1,uncategorized,1.0,223
masak,1,uncategorized,1.0,224
mampu mengajar dengan menggunakan berbagai media pembelajaran,1,uncategorized,1.0,225
merencanakan kegiatan yang mendorong perkembangan anak,1,uncategorized,1.0,226
menguasai microsoft word,1,uncategorized,1.0,227
powerpoint,1,uncategorized,1.0,228
elektronika,1,uncategorized,1.0,229
excel,1,uncategorized,1.0,230
programing visual,1,uncategorized,1.0,231
htmlcss,1,frontend,1.0,232
html.java script,1,programming_language,1.0,233
php,1,programming_language,1.0,234
web programming,1,uncategorized,1.0,235
css,1,frontend,1.0,236
mysql,1,database,1.0,237
terbiasa melakukan penilitian,1,uncategorized,1.0,238
bisa dan menguasai metode - metode konstruksi,1,uncategorized,1.0,239
kreatif.,1,uncategorized,1.0,240
apache kafka,1,uncategorized,1.0,241
power bi- problem solver,1,uncategorized,1.0,242
creative thinking,1,uncategorized,1.0,243
apache nifi,1,uncategorized,1.0,244
familiar with python,1,uncategorized,1.0,245
database management system,1,uncategorized,1.0,246
airflow - familiar with datamining,1,uncategorized,1.0,247
database microsoft sql sybase interactive sql sqlite mysql,1,uncategorized,1.0,248
dwh architecture and data processing - familiar with tableau,1,uncategorized,1.0,249
rekruitmen,1,uncategorized,1.0,250
kerja sama tim,1,uncategorized,1.0,251
model and influencer contract,1,uncategorized,1.0,252
model,1,uncategorized,1.0,253
editing foto,1,uncategorized,1.0,254
menguasai komputer ms office,1,uncategorized,1.0,255
